Feature ID	WT_01	WT_02	Mu_01	Mu_02
AT1G05160	8.423363743	5.56127506	7.074555199	6.721823056
AT1G05170	16.60569968	11.31334348	12.05238631	11.8133773
AT1G05180	17.76444655	18.32230562	15.11146849	13.32632348
AT1G05190	309.9529284	398.3431785	339.5196777	367.9727291
AT1G05200	24.4378848	23.43647051	19.82791275	19.97874536
AT1G05205	20.58504666	18.045959	14.82276026	12.95543608
AT1G05210	2.312817303	3.517551616	4.628390619	4.453858032
AT1G05220	0.274106407	0.338141666	0.364030723	0.145959767
AT1G05230	8.08563529	7.440698336	6.886399875	6.5288467
AT1G05240	0.028655603	0.082483265	0.093026906	0.055949339
AT1G05250	0.017859056	0.05507798	0.173931712	0.104608061
AT1G05260	0.040356444	0.012446075	0.147388783	0.1772886
AT1G05270	19.14146741	16.90378971	18.06358006	13.22239103
AT1G05280	0	0	0	0
AT1G05290	0	0	0	0
AT1G05291	0	0	0	0
AT1G05300	5.906657113	1.55064765	3.535929902	2.073008376
AT1G05310	1.414097935	0.258854147	1.310569595	1.229086041
AT1G05320	11.61130552	9.771843957	9.873985572	10.1859972
AT1G05330	0.176778769	0.072692291	0.071736328	0
AT1G05340	0.960721751	0.190472204	0.960721963	0.351709664
AT1G05350	18.17290096	16.01839629	16.82995101	15.54538801
AT1G05360	4.964537109	4.434229721	4.429718256	3.990867028
AT1G05370	0.115383981	0.223676143	0.200667837	0.168963223
AT1G05380	9.281013621	8.622367215	7.991975025	8.248570741
AT1G05385	28.30332365	29.83238983	25.47889742	28.68427363
AT1G05390	0	0	0	0
AT1G05400	0.587842655	0.317262437	0.178908674	0.215202729
AT1G05410	5.657732466	5.657855458	5.489682214	5.290873976
AT1G05420	0.411964621	0.684972729	0.566938205	0.786864603
AT1G05430	23.27515337	21.77416831	22.60117893	20.79136691
AT1G05440	0.047928232	0.216791546	0.233389704	0.046789329
AT1G05450	0	0	0	0
AT1G05460	4.474309939	4.13745133	4.267833276	4.27625357
AT1G05470	1.375412266	1.953470492	1.916764884	2.411611587
